area,mapping,coordinates,centroids
Ang Mo Kio,"[{'Y': '39883.5099', 'X': '32146.4241', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO (AMK) TECHLINK (FRIENDLY BUILDINGS)'}, {'Y': '38609.4831', 'X': '29045.7151', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANG MO KIO 22'}, {'Y': '38823.0377', 'X': '29534.2511', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANG MO KIO 31'}, {'Y': '39302.5449', 'X': '29760.6287', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO 3G CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '40130.1009', 'X': '28978.8653', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANG MO KIO 61'}, {'Y': '39073.7560', 'X': '27555.2361', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'ANG MO KIO AVE 1 (END OF JLN CHEMPEDAK) (COMMUNITY USE SITES)'}, {'Y': '39254.5413', 'X': '28272.4321', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVE 2/4 (FRIENDLY BUILDINGS)'}, {'Y': '39921.6403', 'X': '31023.3815', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANG MO KIO AVE 5 PARK CONNECTOR'}, {'Y': '40012.5890', 'X': '31348.4735', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'ANG MO KIO AVE 5 PARK CONNECTOR (ANG MO KIO INDUSTRIAL PARK 2 NEAR AMK TECH 2) (PCN ACCESS POINTS)'}, {'Y': '39940.0788', 'X': '31084.3558', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'ANG MO KIO AVE 5 PARK CONNECTOR (ANG MO KIO INDUSTRIAL PARK 2 NEAR CTE) (PCN ACCESS POINTS)'}, {'Y': '40072.5418', 'X': '31781.6043', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'ANG MO KIO AVE 5 PARK CONNECTOR (ANG MO KIO INDUSTRIAL PARK 2 NEAR SERANGOON NORTH INDUSTRIAL ESTATE) (PCN ACCESS POINTS)'}, {'Y': '38416.0024', 'X': '29552.4806', 'CATEGORY': 'CATB', 'SEARCHVAL': 'ANG MO KIO AVENUE 1'}, {'Y': '38471.8227', 'X': '29107.2527', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 Ã\x82Â\xa0BY MARYMOUNT ROAD TOWARDS UPPER THOMSON (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '38760.4223', 'X': '28648.1392', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BLOCK 226D MARKET AND FOOD CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '37867.3171', 'X': '30271.7769', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BY ANG MO KIO AVENUE 10 TOWARDS LORONG CHUAN (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '38646.6413', 'X': '28994.5170', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BY ANG MO KIO AVENUE 6 TOWARDS ANG MO KIO AVENUE 8 (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '37480.1981', 'X': '30677.2045', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BY CTE TOWARDS ANG MO KIO AVENUE 10 (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '37551.1859', 'X': '30538.8722', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BY CTE TOWARDS LOR CHUAN (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '37347.6271', 'X': '31413.6026', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANG MO KIO AVENUE 1 BY LOR CHUAN TOWARDS BOUNDARY ROAD (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '38755.5540', 'X': '30589.6593', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ANG MO KIO AVENUE 10'}]","[(1.306992406960621, 103.94009716379405), (1.2789511870891037, 103.9286484000476), (1.2833692565407226, 103.93056743232523)]","(1.2897709501968155, 103.93310433205563)"
Bedok,"[{'Y': '34445.0664', 'X': '37792.5581', 'CATEGORY': 'Family', 'SEARCHVAL': 'BEDOK (UTTAMRAM) MEDICAL CENTRE - CHAI CHEE (VOLUNTARY WELFARE ORGS)'}, {'Y': '33713.0262', 'X': '41351.0444', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BEDOK AVENUE'}, {'Y': '38888.7224', 'X': '42594.8341', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK BETHESDA MISSION CHURCH'}, {'Y': '33859.9258', 'X': '39138.6596', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK BOUGAINVILLEA RC (RESIDENTS COMMITTEES)'}, {'Y': '34253.4466', 'X': '38464.6974', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK BRANCH'}, {'Y': '34253.4472', 'X': '38464.6974', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'BEDOK BRANCH (HDB BRANCHES)'}, {'Y': '33795.4916', 'X': '39855.5853', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK BUNGA MERAH RC (RESIDENTS COMMITTEES)'}, {'Y': '33795.4912', 'X': '39855.5855', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BEDOK BUNGA MERAH RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}, {'Y': '33357.2128', 'X': '41426.5802', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK CAMP'}, {'Y': '33143.2884', 'X': '41314.9362', 'CATEGORY': 'National Service', 'SEARCHVAL': 'BEDOK CAMP (FITNESS AND CONDITIONING CENTRES (FCC))'}, {'Y': '33143.2884', 'X': '41314.9362', 'CATEGORY': 'National Service', 'SEARCHVAL': 'BEDOK CAMP (IPPT IN YOUR COMMUNITY)'}, {'Y': '34055.7015', 'X': '39434.1333', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK CC (COMMUNITY CLUBS)'}, {'Y': '34226.4429', 'X': '39192.3521', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BEDOK CENTRAL'}, {'Y': '34398.0906', 'X': '39178.9817', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK CENTRAL PO - 1 (SAM KIOSK)'}, {'Y': '34398.0906', 'X': '39178.9817', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK CENTRAL PO - 2 (SAM KIOSK)'}, {'Y': '34398.0896', 'X': '39178.9810', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK CENTRAL POST OFFICE'}, {'Y': '35056.3087', 'X': '37224.9734', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK CHURCH OF CHRIST'}, {'Y': '34253.2557', 'X': '40964.3560', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BEDOK CLOSE'}, {'Y': '34055.7005', 'X': '39434.1326', 'CATEGORY': 'Building', 'SEARCHVAL': 'BEDOK COMMUNITY CENTRE'}, {'Y': '34055.7006', 'X': '39434.1326', 'CATEGORY': 'Community', 'SEARCHVAL': 'BEDOK COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}]","[(1.358055627945516, 103.89123141066254), (1.3902374425849517, 103.88465423621417), (1.4014843353478377, 103.93116232854278)]","(1.3832591352927686, 103.90234932513982)"
Bishan,"[{'Y': '36826.9085', 'X': '30143.9423', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN 3-IN-1 CENTRE (SCC)'}, {'Y': '36846.9245', 'X': '29518.1735', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN 8'}, {'Y': '37628.6810', 'X': '29529.5469', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN ACTIVE PARK'}, {'Y': '36859.9049', 'X': '29843.2901', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN BRANCH'}, {'Y': '36859.9045', 'X': '29843.2903', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'BISHAN BRANCH (HDB BRANCHES)'}, {'Y': '36983.7729', 'X': '29844.6853', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN BUS INTERCHANGE'}, {'Y': '36914.5932', 'X': '29830.0999', 'CATEGORY': 'Community', 'SEARCHVAL': 'BISHAN BUS INTERCHANGE (FRIENDLY BUILDINGS)'}, {'Y': '36969.5560', 'X': '29817.5038', 'CATEGORY': 'Community', 'SEARCHVAL': 'BISHAN BUS INTERCHANGE, BISHAN STREET 13, SINGAPORE 570514 (AXS STATION)'}, {'Y': '36847.6613', 'X': '29913.1321', 'CATEGORY': 'Community', 'SEARCHVAL': 'BISHAN CC (COMMUNITY CLUBS)'}, {'Y': '36876.0990', 'X': '29939.9380', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN COMMUNITY CLUB'}, {'Y': '36847.6611', 'X': '29913.1323', 'CATEGORY': 'Community', 'SEARCHVAL': 'BISHAN COMMUNITY CLUB (CC) (FRIENDLY BUILDINGS)'}, {'Y': '37429.4761', 'X': '30396.0066', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN DEPOT (SMRT)'}, {'Y': '36804.5898', 'X': '30177.0671', 'CATEGORY': 'Building', 'SEARCHVAL': 'BISHAN EAST 3-IN-1 CHILD CARE CENTRE'}, {'Y': '36847.6611', 'X': '29913.1323', 'CATEGORY': 'Community', 'SEARCHVAL': 'BISHAN EAST CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '36548.9608', 'X': '29749.7389', 'CATEGORY': 'Community', 'SEARCHVAL': ""BISHAN EAST ZONE '1' RC (RESIDENTS COMMITTEES)""}, {'Y': '36548.9613', 'X': '29749.7392', 'CATEGORY': 'Recreation', 'SEARCHVAL': ""BISHAN EAST ZONE 1 RESIDENTS' COMMITTEE (WIRELESS HOTSPOTS)""}, {'Y': '36583.1006', 'X': '30029.3185', 'CATEGORY': 'Community', 'SEARCHVAL': ""BISHAN EAST ZONE '2' RC (RESIDENTS COMMITTEES)""}, {'Y': '36583.1005', 'X': '30029.3185', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BISHAN EAST ZONE 2 RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}, {'Y': '36699.0878', 'X': '29891.1984', 'CATEGORY': 'Community', 'SEARCHVAL': ""BISHAN EAST ZONE '3' RC (RESIDENTS COMMITTEES)""}, {'Y': '36699.0880', 'X': '29891.1979', 'CATEGORY': 'Recreation', 'SEARCHVAL': ""BISHAN EAST ZONE '3 RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)""}]","[(1.2888837073183486, 103.9126316212494), (1.2832244737600653, 103.91281129800608), (1.2833271013502536, 103.91983568201547)]","(1.285145094142889, 103.91509286709031)"
Boon Lay,"[{'Y': '36578.8645', 'X': '14317.8108', 'CATEGORY': 'CATC', 'SEARCHVAL': 'BOON LAY AVENUE'}, {'Y': '35720.9660', 'X': '13737.4056', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY BUS INTERCHANGE'}, {'Y': '36705.7835', 'X': '14442.3743', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY CC (COMMUNITY CLUBS)'}, {'Y': '36705.7846', 'X': '14442.3737', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY COMMUNITY CENTRE'}, {'Y': '36705.7840', 'X': '14442.3743', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '36705.7840', 'X': '14442.3743', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BOON LAY COMMUNITY CENTRE (WIRELESS HOTSPOTS)'}, {'Y': '36722.3824', 'X': '14433.9115', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY COMMUNTIY CENTRE'}, {'Y': '36705.7840', 'X': '14442.3743', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '36506.7301', 'X': '14027.0240', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY COURT'}, {'Y': '36425.1733', 'X': '14916.7922', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY DR BY CORPORATION ROAD TOWARDS BOON LAY WAY (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '36182.2426', 'X': '14555.5977', 'CATEGORY': 'CATD', 'SEARCHVAL': 'BOON LAY DRIVE'}, {'Y': '36250.2659', 'X': '14689.8881', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY FIELDS'}, {'Y': '36111.0122', 'X': '14606.3915', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY GARDEN PRIMARY SCHOOL'}, {'Y': '36111.0120', 'X': '14606.3920', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY GARDEN PRIMARY SCHOOL (FRIENDLY BUILDINGS)'}, {'Y': '36285.0967', 'X': '14759.3941', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY GARDENS'}, {'Y': '36582.8097', 'X': '14223.6442', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY GREEN'}, {'Y': '36820.6029', 'X': '14204.3906', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY GROVE'}, {'Y': '36662.4921', 'X': '14172.6133', 'CATEGORY': 'Building', 'SEARCHVAL': 'BOON LAY MEADOW'}, {'Y': '36662.4918', 'X': '14172.6140', 'CATEGORY': 'Environment', 'SEARCHVAL': 'BOON LAY MEADOW (GREEN MARK BUILDINGS)'}, {'Y': '36749.0997', 'X': '14246.3552', 'CATEGORY': 'Community', 'SEARCHVAL': 'BOON LAY MEADOW-GROVE RC (RESIDENTS COMMITTEES)'}]","[(1.145757853248478, 103.91039878255273), (1.1405090688609254, 103.90269049877071), (1.1468843308387557, 103.91153917131031)]","(1.1443837509827197, 103.90820948421124)"
Bukit Batok,"[{'Y': '36460.4328', 'X': '18399.2207', 'CATEGORY': 'CATB', 'SEARCHVAL': 'BUKIT BATOK AVENUE 1'}, {'Y': '36389.1563', 'X': '20901.2726', 'CATEGORY': 'Family', 'SEARCHVAL': 'BUKIT BATOK BOYS HOSTEL - OUTDOOR BREAKTHROUGH (VOLUNTARY WELFARE ORGS)'}, {'Y': '36906.2218', 'X': '18723.5383', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK BRANCH'}, {'Y': '36911.5155', 'X': '18718.1072', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'BUKIT BATOK BRANCH (HDB BRANCHES)'}, {'Y': '36887.8872', 'X': '18818.2695', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK BUS INTERCHANGE'}, {'Y': '36887.8861', 'X': '18818.2703', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK BUS INTERCHANGE (FRIENDLY BUILDINGS)'}, {'Y': '36922.9240', 'X': '18450.9532', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK CC (COMMUNITY CLUBS)'}, {'Y': '36705.7202', 'X': '18629.2492', 'CATEGORY': 'CATB', 'SEARCHVAL': 'BUKIT BATOK CENTRAL'}, {'Y': '36910.4278', 'X': '18592.2616', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BUKIT BATOK CENTRAL LINK'}, {'Y': '36922.7359', 'X': '18618.7307', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK CENTRAL PO (SAM KIOSK)'}, {'Y': '36893.1421', 'X': '18635.4235', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK CENTRAL POST OFFICE'}, {'Y': '36924.1546', 'X': '18452.3009', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK COMMUNITY CLUB'}, {'Y': '36918.0801', 'X': '18447.1246', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK COMMUNITY CLUB, 21 BUKIT BATOK CENTRAL, SINGAPORE 659959 (AXS STATION)'}, {'Y': '36215.5945', 'X': '19116.3367', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK CONNECTION'}, {'Y': '36922.9235', 'X': '18450.9534', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '35668.3054', 'X': '19542.1861', 'CATEGORY': 'CATD', 'SEARCHVAL': 'BUKIT BATOK CRESCENT'}, {'Y': '38214.7560', 'X': '18351.8262', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BUKIT BATOK CYCLING PATH (LTA & TOWN COUNCIL CYCLING PATHS)'}, {'Y': '38759.4681', 'X': '18743.4500', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK DRIVING CENTRE'}, {'Y': '38759.3472', 'X': '18741.9123', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT BATOK DRIVING TEST CENTRE'}, {'Y': '36647.6304', 'X': '19511.5493', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT BATOK EAST (SAM KIOSK)'}]","[(1.1826687215108094, 103.90933567046616), (1.2052964144020542, 103.908695863983), (1.1856016221487455, 103.91334118909425)]","(1.1911889193538696, 103.91045757451447)"
Bukit Merah,"[{'Y': '29509.8354', 'X': '26260.6352', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH BRANCH'}, {'Y': '29500.5683', 'X': '26251.9475', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'BUKIT MERAH BRANCH (HDB BRANCHES)'}, {'Y': '29387.5222', 'X': '26207.3878', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH BUS INTERCHANGE'}, {'Y': '29387.0307', 'X': '26207.2544', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH BUS INTERCHANGE (FRIENDLY BUILDINGS)'}, {'Y': '29742.4137', 'X': '26053.5050', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH CC (COMMUNITY CLUBS)'}, {'Y': '29556.7831', 'X': '26090.2422', 'CATEGORY': 'CATD', 'SEARCHVAL': 'BUKIT MERAH CENTRAL'}, {'Y': '29593.8059', 'X': '25959.4363', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BUKIT MERAH CENTRAL  RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}, {'Y': '29499.3280', 'X': '26149.6876', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH CENTRAL PO (SAM KIOSK)'}, {'Y': '29488.3911', 'X': '26176.6191', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH CENTRAL POST OFFICE'}, {'Y': '29593.8060', 'X': '25959.4358', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH CENTRAL RC (RESIDENTS COMMITTEES)'}, {'Y': '29742.4136', 'X': '26053.5043', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH COMMUNITY CENTRE'}, {'Y': '29742.4144', 'X': '26053.5048', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '28993.6325', 'X': '28678.6145', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH EAST NEIGHBOURHOOD POLICE CENTRE'}, {'Y': '1.2739', 'X': '103.8351', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'BUKIT MERAH EAST NEIGHBOURHOOD POLICE CENTRE (SINGAPORE POLICE FORCE NPC BOUNDARY)'}, {'Y': '29133.1089', 'X': '27477.8850', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT MERAH FLYOVER'}, {'Y': '29500.5683', 'X': '26251.9475', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH HDB BRANCH OFFICE (FRIENDLY BUILDINGS)'}, {'Y': '29787.3950', 'X': '24729.8948', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BUKIT MERAH LANE 1'}, {'Y': '29804.1924', 'X': '24892.9301', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BUKIT MERAH LANE 2'}, {'Y': '29738.5242', 'X': '24881.3275', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BUKIT MERAH LANE 3'}, {'Y': '29857.8147', 'X': '24791.5473', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT MERAH LANE FOOD CENTRE (FRIENDLY BUILDINGS)'}]","[(1.2537656438580307, 103.84688455434937), (1.253687075763246, 103.84680128637294), (1.2532840984431757, 103.84578553257884)]","(1.2535789393548173, 103.84649045776705)"
Bukit Panjang,"[{'Y': '40045.5281', 'X': '20156.9249', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG BUS INTERCHANGE (FRIENDLY BUILDINGS)'}, {'Y': '39311.2575', 'X': '19762.8294', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG CAMP'}, {'Y': '39826.5380', 'X': '21015.6157', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG CC (COMMUNITY CLUBS)'}, {'Y': '40253.5314', 'X': '20739.0536', 'CATEGORY': 'Family', 'SEARCHVAL': 'BUKIT PANJANG CHILD CARE CENTRE (VOLUNTARY WELFARE ORGS)'}, {'Y': '39826.5387', 'X': '21015.6147', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG COMMUNITY CLUB'}, {'Y': '39826.5380', 'X': '21015.6152', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG COMMUNITY CLUB (CC) (FRIENDLY BUILDINGS)'}, {'Y': '39826.5380', 'X': '21015.6152', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '40138.2873', 'X': '19753.1310', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG DELIVERY BASE'}, {'Y': '40138.2868', 'X': '19753.1315', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG DELIVERY BASE (FRIENDLY BUILDINGS)'}, {'Y': '40289.6124', 'X': '20680.9085', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG FAMILY SERVICE CENTRE SCC'}, {'Y': '39800.7103', 'X': '20967.1503', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG FIRE POST'}, {'Y': '39816.7190', 'X': '20944.3959', 'CATEGORY': 'Emergency Preparedness', 'SEARCHVAL': 'BUKIT PANJANG FIRE POST (FIRE POSTS)'}, {'Y': '39965.4381', 'X': '19757.1382', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG GOSPEL CHAPEL'}, {'Y': '40465.2079', 'X': '17431.6287', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG GOVERNMENT HIGH SCHOOL'}, {'Y': '40465.2076', 'X': '17431.6297', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG GOVERNMENT HIGH SCHOOL (FRIENDLY BUILDINGS)'}, {'Y': '39862.9587', 'X': '20030.1890', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG KHECK COMMUNITY GUILD'}, {'Y': '39862.9582', 'X': '20030.1892', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG KHECK COMMUNITY GUILD (FRIENDLY BUILDINGS)'}, {'Y': '39456.2967', 'X': '20069.7683', 'CATEGORY': 'CATE', 'SEARCHVAL': 'BUKIT PANJANG LINK'}, {'Y': '39989.7013', 'X': '20185.8834', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUKIT PANJANG LRT STATION'}, {'Y': '39989.7005', 'X': '20185.8843', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUKIT PANJANG LRT STATION (FRIENDLY BUILDINGS)'}]","[(1.198563688528475, 103.94154852307683), (1.1949998847201144, 103.93495090421568), (1.2063294557744035, 103.93958117762698)]","(1.1999643430076643, 103.93869353497315)"
