mapping,subzone,coordinates,centroids
"[{'Y': '41868.6009', 'X': '18141.0236', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE CC (COMMUNITY CLUBS)'}, {'Y': '42431.5445', 'X': '18099.2988', 'CATEGORY': 'Family', 'SEARCHVAL': 'YEW TEE CHILDCARE CENTRE (VOLUNTARY WELFARE ORGS)'}, {'Y': '42172.9695', 'X': '18301.5362', 'CATEGORY': 'CATE', 'SEARCHVAL': 'YEW TEE CLOSE'}, {'Y': '41859.2609', 'X': '18147.9961', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE COMMUNITY BUILDING'}, {'Y': '41872.9720', 'X': '18154.3952', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE COMMUNITY CLUB'}, {'Y': '41868.6007', 'X': '18141.0231', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE COMMUNITY CLUB (CC) (FRIENDLY BUILDINGS)'}, {'Y': '41868.6007', 'X': '18141.0231', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'YEW TEE COMMUNITY CLUB (WIRELESS HOTSPOTS)'}, {'Y': '41868.6007', 'X': '18141.0231', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '41267.8978', 'X': '19570.1596', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE FLYOVER'}, {'Y': '42685.9613', 'X': '19172.5933', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE INDUSTRIAL ESTATE'}, {'Y': '42238.2447', 'X': '19126.7825', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE MOTOR REPAIR CENTRE'}, {'Y': '42158.0124', 'X': '18438.9791', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE MRT STATION'}, {'Y': '42113.1016', 'X': '18430.5870', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE MRT STATION - 1 (SAM KIOSK)'}, {'Y': '42113.1016', 'X': '18430.5870', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE MRT STATION - 2 (SAM KIOSK)'}, {'Y': '42113.1016', 'X': '18430.5870', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE MRT STATION (NS5) (FRIENDLY BUILDINGS)'}, {'Y': '42161.1067', 'X': '18431.7329', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE MRT STATION, 61 CHOA CHU KANG DRIVE, SINGAPORE 689715 (AXS STATION)'}, {'Y': '42136.0492', 'X': '18013.1172', 'CATEGORY': 'Building', 'SEARCHVAL': 'YEW TEE PARK'}, {'Y': '42126.1684', 'X': '18341.5893', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE POINT - STATION 1, 21 CHOA CHU KANG NORTH 6, SINGAPORE 689578 (AXS STATION)'}, {'Y': '42125.9472', 'X': '18342.7022', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE POINT - STATION 2, 21 CHOA CHU KANG NORTH 6, SINGAPORE 689578 (AXS STATION)'}, {'Y': '42132.2398', 'X': '18344.7131', 'CATEGORY': 'Community', 'SEARCHVAL': 'YEW TEE POINT (FRIENDLY BUILDINGS)'}]",Yew Tee,"[(1.1803319141098396, 103.95792817284251), (1.1799543376510682, 103.96298621729072), (1.1817834066134802, 103.96066299829332)]","(1.1806898861247959, 103.96052579614218)"
"[{'Y': '33020.1643', 'X': '20332.5902', 'CATEGORY': 'Community', 'SEARCHVAL': 'CLEMENTI CENTRAL PO (SAM KIOSK)'}, {'Y': '33070.7084', 'X': '20358.0539', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI CENTRAL POST OFFICE'}]",Clementi Central,"[(1.2001541223939667, 103.87842497392717), (1.2003843996638148, 103.87887912192946)]","(0.8001795073525938, 69.25243469861887)"
"[{'Y': '35038.9459', 'X': '20414.6791', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI NORTH FLYOVER'}]",Clementi North,"[(1.2008961441427133, 103.89656395896958)]","(0.4002987147142378, 34.632187986323196)"
"[{'Y': '34320.7109', 'X': '20071.9656', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WEST DISTRIPARK'}, {'Y': '31922.9465', 'X': '20048.4943', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WEST FIRE POST'}, {'Y': '31922.8303', 'X': '20047.7835', 'CATEGORY': 'Emergency Preparedness', 'SEARCHVAL': 'CLEMENTI WEST FIRE POST (FIRE POSTS)'}, {'Y': '31853.5179', 'X': '20217.9952', 'CATEGORY': 'Community', 'SEARCHVAL': 'CLEMENTI WEST PO (SAM KIOSK)'}, {'Y': '31853.5172', 'X': '20217.9952', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WEST POST OFFICE'}, {'Y': '31895.1370', 'X': '20582.8710', 'CATEGORY': 'CATE', 'SEARCHVAL': 'CLEMENTI WEST STREET 1'}, {'Y': '31778.9858', 'X': '20146.5940', 'CATEGORY': 'CATD', 'SEARCHVAL': 'CLEMENTI WEST STREET 2'}]",Clementi West,"[(1.1977969055897613, 103.8901104759183), (1.1975850032583681, 103.86856632009957), (1.1975785750430512, 103.8685652759488)]","(1.1976534946303936, 103.87574735732223)"
"[{'Y': '31354.0336', 'X': '20681.2177', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WOODS'}, {'Y': '31690.7606', 'X': '20487.1297', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WOODS KINDERGARTEN'}, {'Y': '31690.5606', 'X': '20486.9302', 'CATEGORY': 'Education', 'SEARCHVAL': 'CLEMENTI WOODS KINDERGARTEN (KINDERGARTENS)'}, {'Y': '32054.1614', 'X': '20422.5873', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLEMENTI WOODS SECONDARY SCHOOL'}, {'Y': '32049.3244', 'X': '20409.9737', 'CATEGORY': 'Community', 'SEARCHVAL': 'CLEMENTI WOODS SECONDARY SCHOOL (FRIENDLY BUILDINGS)'}]",Clementi Woods,"[(1.203307195875645, 103.8634546429115), (1.2015518959937967, 103.86648015412817), (1.201550091806902, 103.86647835708366)]","(1.2021363945587813, 103.86547105137446)"
"[{'Y': '33366.4755', 'X': '19721.0014', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER AVENUE'}, {'Y': '33472.3576', 'X': '19529.1811', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER CRESCENT'}, {'Y': '33916.5118', 'X': '19653.2292', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER CREST'}, {'Y': '33453.3042', 'X': '19702.8412', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER DRIVE'}, {'Y': '38404.4477', 'X': '27579.5695', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER GARDEN'}, {'Y': '38313.7216', 'X': '27720.6785', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER GARDEN CONDOMINIUM'}, {'Y': '33507.9613', 'X': '19592.9351', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER GREEN'}, {'Y': '33884.9319', 'X': '19370.9706', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER GROVE'}, {'Y': '33864.0569', 'X': '19571.5841', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER HEIGHT OPEN SPACE'}, {'Y': '33896.3460', 'X': '19489.5562', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER HEIGHTS'}, {'Y': '33560.2588', 'X': '19615.5877', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER HILL PLAYGROUND'}, {'Y': '33801.0127', 'X': '19395.1264', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER HILLS'}, {'Y': '31588.5949', 'X': '28554.2351', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER HOUSE'}, {'Y': '33672.4026', 'X': '19788.9272', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER PARK'}, {'Y': '28196.4637', 'X': '26452.0023', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER PEAK'}, {'Y': '28418.5905', 'X': '26258.0021', 'CATEGORY': 'Building', 'SEARCHVAL': 'FABER POINT'}, {'Y': '33706.9986', 'X': '19422.5531', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER TERRACE'}, {'Y': '33812.7268', 'X': '19564.8227', 'CATEGORY': 'CATE', 'SEARCHVAL': 'FABER WALK'}]",Faber,"[(1.1946230727781122, 103.88153652076012), (1.1928882997760817, 103.88248785009606), (1.1940100729033405, 103.88647863419837)]","(1.1938404818191781, 103.88350100168486)"
"[{'Y': '31631.6964', 'X': '18689.9787', 'CATEGORY': 'CATD', 'SEARCHVAL': 'PANDAN AVENUE'}, {'Y': '32531.1183', 'X': '19432.5690', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN CIRCUS'}, {'Y': '31792.2023', 'X': '19710.3645', 'CATEGORY': 'CATD', 'SEARCHVAL': 'PANDAN CRESCENT'}, {'Y': '32856.0188', 'X': '19903.9873', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN FLYOVER'}, {'Y': '33616.2768', 'X': '18498.2583', 'CATEGORY': 'CATD', 'SEARCHVAL': 'PANDAN GARDENS'}, {'Y': '33567.1174', 'X': '18771.3639', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN GARDENS LEISURE PARK'}, {'Y': '33512.7087', 'X': '18763.6015', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN GARDENS PARK CONNECTOR'}, {'Y': '33570.4569', 'X': '18797.1846', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'PANDAN GARDENS PARK CONNECTOR (PANDAN GARDENS) (PCN ACCESS POINTS)'}, {'Y': '33662.0772', 'X': '18846.7855', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'PANDAN GARDENS PARK CONNECTOR (ULU PANDAN ELEVATED PC NEAR SHENG HONG TEMPLE) (PCN ACCESS POINTS)'}, {'Y': '33345.6871', 'X': '18666.2993', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'PANDAN GARDENS PARK CONNECTOR (WEST COAST ROAD E) (PCN ACCESS POINTS)'}, {'Y': '32721.4917', 'X': '19137.4616', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK'}, {'Y': '32392.5387', 'X': '19344.3288', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK A)'}, {'Y': '32319.1710', 'X': '19359.1096', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK B)'}, {'Y': '32334.8998', 'X': '19380.4989', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK C)'}, {'Y': '32363.8957', 'X': '19417.0288', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK D)'}, {'Y': '32381.8938', 'X': '19440.8744', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK E)'}, {'Y': '32306.9574', 'X': '19499.4607', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK H)'}, {'Y': '32286.1178', 'X': '19424.7316', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK I)'}, {'Y': '32261.9286', 'X': '19442.4963', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK J)'}, {'Y': '32221.3590', 'X': '19466.0602', 'CATEGORY': 'Building', 'SEARCHVAL': 'PANDAN LIGHT INDUSTRIES PARK (BLK K)'}]",Pandan,"[(1.1852990907706769, 103.8659492641165), (1.1920147124071165, 103.87403072279945), (1.1945270894206776, 103.86739153259846)]","(1.1906136308661572, 103.86912383983814)"
"[{'Y': '34456.7835', 'X': '20599.6518', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SUNSET WAY'}, {'Y': '33947.0453', 'X': '20735.1972', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'SUNSET WAY (NEXT TO CLEMENTI ARCADE) (COMMUNITY USE SITES)'}, {'Y': '34436.3004', 'X': '20374.1715', 'CATEGORY': 'Building', 'SEARCHVAL': 'SUNSET WAY PARK'}, {'Y': '34317.0130', 'X': '20544.7735', 'CATEGORY': 'Building', 'SEARCHVAL': 'SUNSET WAY PLAYGROUND'}, {'Y': '33991.8593', 'X': '20968.0051', 'CATEGORY': 'Community', 'SEARCHVAL': 'SUNSET WAY RC (RESIDENTS COMMITTEES)'}, {'Y': '33769.1447', 'X': '20992.3949', 'CATEGORY': 'Building', 'SEARCHVAL': 'SUNSET WAY RESIDENCE'}, {'Y': '33991.8595', 'X': '20968.0044', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'SUNSET WAY RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}]",Sunset Way,"[(1.2025690892657885, 103.89133320216457), (1.2037950085988198, 103.88675316999509), (1.2005299282341724, 103.89114911630675)]","(1.2022980086995936, 103.88974516282214)"
"[{'Y': '34869.7164', 'X': '19757.8620', 'CATEGORY': 'CATB', 'SEARCHVAL': 'TOH TUCK AVENUE'}, {'Y': '35186.7639', 'X': '19783.4294', 'CATEGORY': 'Community', 'SEARCHVAL': 'TOH TUCK AVENUE BY PIE TOWARDS BUKIT BATOK EAST AVENUE 3 (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '34773.3250', 'X': '19750.5866', 'CATEGORY': 'Community', 'SEARCHVAL': 'TOH TUCK AVENUE BY TOH TUCK LINK TOWARDS BOON LAY WAY (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '34748.5587', 'X': '19669.6782', 'CATEGORY': 'Community', 'SEARCHVAL': 'TOH TUCK AVENUE BY TOH TUCK LINK TOWARDS PIE (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '35637.1158', 'X': '20548.8860', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK CLOSE'}, {'Y': '35666.8075', 'X': '20512.6342', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK CRESCENT'}, {'Y': '35921.0638', 'X': '20977.9852', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK DRIVE'}, {'Y': '35411.9739', 'X': '19776.5738', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOH TUCK FLYOVER'}, {'Y': '35562.1327', 'X': '20494.3862', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOH TUCK GARDEN'}, {'Y': '35491.0353', 'X': '20928.6381', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOH TUCK HILL'}, {'Y': '34827.1501', 'X': '19610.5424', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOH TUCK INDUSTRIAL ESTATE'}, {'Y': '34771.5341', 'X': '19581.2465', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK LINK'}, {'Y': '35882.2559', 'X': '20944.0138', 'CATEGORY': 'Building', 'SEARCHVAL': 'TOH TUCK LODGE'}, {'Y': '35688.3612', 'X': '20413.1163', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK PLACE'}, {'Y': '35605.2400', 'X': '20314.0894', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK RISE'}, {'Y': '35763.0114', 'X': '20524.4355', 'CATEGORY': 'CATD', 'SEARCHVAL': 'TOH TUCK ROAD'}, {'Y': '35636.2909', 'X': '20814.9815', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK TERRACE'}, {'Y': '35501.1785', 'X': '20419.4147', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TOH TUCK WALK'}]",Toh Tuck,"[(1.194956155281302, 103.89504328078722), (1.1951873119965024, 103.89789198597306), (1.1948903785517464, 103.89417719406705)]","(1.1950112819431835, 103.89570415360912)"
"[{'Y': '32916.6445', 'X': '19496.5624', 'CATEGORY': 'CATE', 'SEARCHVAL': 'WEST COAST AVENUE'}, {'Y': '29652.0880', 'X': '22025.1498', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST CAR MART'}, {'Y': '31660.6807', 'X': '20381.9274', 'CATEGORY': 'Community', 'SEARCHVAL': 'WEST COAST CC (COMMUNITY CLUBS)'}, {'Y': '31683.2047', 'X': '20395.0071', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST COMMUNITY CENTRE'}, {'Y': '31660.6809', 'X': '20381.9269', 'CATEGORY': 'Community', 'SEARCHVAL': 'WEST COAST COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '31660.6809', 'X': '20381.9269', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'WEST COAST COMMUNITY CENTRE (WIRELESS HOTSPOTS)'}, {'Y': '31660.6809', 'X': '20381.9269', 'CATEGORY': 'Community', 'SEARCHVAL': 'WEST COAST CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '32617.5055', 'X': '21018.8174', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST COURT'}, {'Y': '31170.1395', 'X': '20462.6037', 'CATEGORY': 'CATD', 'SEARCHVAL': 'WEST COAST CRESCENT'}, {'Y': '32685.2984', 'X': '19865.6419', 'CATEGORY': 'CATD', 'SEARCHVAL': 'WEST COAST DRIVE'}, {'Y': '30487.3242', 'X': '20367.2223', 'CATEGORY': 'CATD', 'SEARCHVAL': 'WEST COAST FERRY ROAD'}, {'Y': '30265.8238', 'X': '20955.1490', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST FLYOVER'}, {'Y': '32982.5214', 'X': '19266.0722', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST GARDENS'}, {'Y': '33114.0815', 'X': '19471.9272', 'CATEGORY': 'CATE', 'SEARCHVAL': 'WEST COAST GREEN'}, {'Y': '33101.4868', 'X': '19425.2268', 'CATEGORY': 'Building', 'SEARCHVAL': 'WEST COAST GREEN PLAYGROUND'}, {'Y': '32005.8077', 'X': '20081.4345', 'CATEGORY': 'Community', 'SEARCHVAL': 'WEST COAST GREEN RC (RESIDENTS COMMITTEES)'}, {'Y': '32005.8076', 'X': '20081.4351', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'WEST COAST GREEN RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}, {'Y': '32911.8322', 'X': '19424.3777', 'CATEGORY': 'CATE', 'SEARCHVAL': 'WEST COAST GROVE'}, {'Y': '32514.1828', 'X': '19886.1346', 'CATEGORY': 'Community', 'SEARCHVAL': 'WEST COAST HEIGHTS RC (RESIDENTS COMMITTEES)'}, {'Y': '32514.1827', 'X': '19886.1339', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'WEST COAST HEIGHTS RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}]",West Coast,"[(1.192593392782552, 103.87749471645776), (1.215461379596196, 103.84816252288384), (1.2006004861454445, 103.8662098714343)]","(1.2028850861747309, 103.86395570359197)"
"[{'Y': '28555.6698', 'X': '29382.2492', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANSON CENTRE'}, {'Y': '28479.5266', 'X': '29240.8743', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANSON HOUSE'}, {'Y': '28566.8236', 'X': '29358.5472', 'CATEGORY': 'CATB', 'SEARCHVAL': 'ANSON ROAD'}, {'Y': '28420.5827', 'X': '29236.0269', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANSON ROAD - ERP(6)'}]",Anson,"[(1.2819964596904792, 103.83831115414839), (1.2807179159169984, 103.83762697590743), (1.2817821069170672, 103.8384113749345)]","(1.2814988275081813, 103.83811650166344)"
[],Bayfront Subzone,[],"(0.0, 0.0)"
"[{'Y': '31478.1598', 'X': '30432.1585', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS BACKPACKERS HOSTEL'}, {'Y': '31173.3374', 'X': '30485.9057', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS CUBE'}, {'Y': '31274.8630', 'X': '30458.7054', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS JUNCTION'}, {'Y': '31352.6235', 'X': '30515.7324', 'CATEGORY': 'Environment', 'SEARCHVAL': 'BUGIS JUNCTION & BUGIS JUNCTION TOWERS (MCST 2137) (1ST RECERTIFICATION) (GREEN MARK BUILDINGS)'}, {'Y': '31352.6235', 'X': '30515.7324', 'CATEGORY': 'Environment', 'SEARCHVAL': 'BUGIS JUNCTION & BUGIS JUNCTION TOWERS (MCST 2137) (GREEN MARK BUILDINGS)'}, {'Y': '31269.8670', 'X': '30449.4472', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS JUNCTION (RETAIL) (FRIENDLY BUILDINGS)'}, {'Y': '31352.6235', 'X': '30515.7328', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'BUGIS JUNCTION (WIRELESS HOTSPOTS)'}, {'Y': '31341.4109', 'X': '30516.4486', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS JUNCTION, 230 VICTORIA STREET, SINGAPORE 188024 (AXS STATION)'}, {'Y': '31402.1925', 'X': '30481.3648', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS MRT STATION'}, {'Y': '31402.1930', 'X': '30481.3651', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS MRT STATION (EW12) (FRIENDLY BUILDINGS)'}, {'Y': '31402.1930', 'X': '30481.3651', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS MRT STATION (SAM KIOSK)'}, {'Y': '31506.0668', 'X': '30515.7885', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS MRT STATION EXIT A'}, {'Y': '31457.5361', 'X': '30562.3116', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS MRT STATION EXIT B'}, {'Y': '31373.7154', 'X': '30487.0896', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS MRT STATION EXIT C'}, {'Y': '31449.5535', 'X': '30550.9479', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS MRT STATION, 220 VICTORIA STREET, SINGAPORE 188022 (AXS STATION)'}, {'Y': '31318.6309', 'X': '30337.7154', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS PLUS - STATION 1, 201 VICTORIA STREET LEVEL 2, SINGAPORE 188067 (AXS STATION)'}, {'Y': '31318.6309', 'X': '30337.2703', 'CATEGORY': 'Community', 'SEARCHVAL': 'BUGIS PLUS - STATION 2, 201 VICTORIA STREET LEVEL 2, SINGAPORE 188067 (AXS STATION)'}, {'Y': '31244.1057', 'X': '30538.6387', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS POINT'}, {'Y': '31472.1279', 'X': '30398.4993', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS VILLAGE'}, {'Y': '31318.4777', 'X': '30342.9311', 'CATEGORY': 'Building', 'SEARCHVAL': 'BUGIS+'}]",Bugis,"[(1.291491282551223, 103.86457097155174), (1.2919773856719825, 103.86183202000566), (1.2917313852872054, 103.86274426740557)]","(1.291733351170137, 103.86304908632098)"
"[{'Y': '29251.0143', 'X': '29706.6234', 'CATEGORY': 'Building', 'SEARCHVAL': 'CECIL COURT'}, {'Y': '29251.0144', 'X': '29706.6240', 'CATEGORY': 'Community', 'SEARCHVAL': 'CECIL COURT (SAM KIOSK)'}, {'Y': '29175.7995', 'X': '29704.9059', 'CATEGORY': 'CATC', 'SEARCHVAL': 'CECIL STREET'}, {'Y': '29111.9685', 'X': '29699.6911', 'CATEGORY': 'Building', 'SEARCHVAL': 'CECIL SUITES'}]",Cecil,"[(1.284929966215919, 103.84455910625786), (1.2849299716421043, 103.84455910715643), (1.2849144366475267, 103.8438832713553)]","(1.28492479150185, 103.84433382825654)"
[],Central Subzone,[],"(0.0, 0.0)"
"[{'Y': '30339.5772', 'X': '30047.6750', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL'}, {'Y': '30591.8478', 'X': '30144.2851', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL MRT STATION'}, {'Y': '30597.7820', 'X': '30139.4707', 'CATEGORY': 'Community', 'SEARCHVAL': 'CITY HALL MRT STATION (EW13/NS25) (FRIENDLY BUILDINGS)'}, {'Y': '30597.7820', 'X': '30139.4707', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'CITY HALL MRT STATION (NSL & EWL) (WIRELESS HOTSPOTS)'}, {'Y': '30597.7820', 'X': '30139.4707', 'CATEGORY': 'Community', 'SEARCHVAL': 'CITY HALL MRT STATION (SAM KIOSK)'}, {'Y': '30611.1767', 'X': '30182.8492', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL MRT STATION EXIT A'}, {'Y': '30610.8982', 'X': '30073.6413', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL MRT STATION EXIT B'}, {'Y': '30625.1037', 'X': '30102.4512', 'CATEGORY': 'Community', 'SEARCHVAL': 'CITY HALL MRT STATION, 150 NORTH BRIDGE ROAD, SINGAPORE 179100 (AXS STATION)'}, {'Y': '30415.3350', 'X': '30369.4938', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL/ESPLANADE MRT STATION EXIT A'}, {'Y': '30457.5147', 'X': '30385.8054', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL/ESPLANADE MRT STATION EXIT B'}, {'Y': '30412.5744', 'X': '30434.3890', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL/ESPLANADE MRT STATION EXIT C'}, {'Y': '30367.6908', 'X': '30424.1965', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL/ESPLANADE MRT STATION EXIT D'}, {'Y': '30479.6293', 'X': '30394.6855', 'CATEGORY': 'Building', 'SEARCHVAL': 'CITY HALL/ESPLANADE MRT STATION EXIT E'}]",City Hall,"[(1.2880142548698728, 103.85434030108387), (1.2888879428003983, 103.85660706309957), (1.2888444025702113, 103.85666038392506)]","(1.2885822000801606, 103.85586924936949)"
"[{'Y': '29600.0397', 'X': '30243.8215', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLIFFORD PIER'}, {'Y': '29517.8392', 'X': '30252.3890', 'CATEGORY': 'Building', 'SEARCHVAL': 'CLIFFORD PIER / THE FULLERTON BAY HOTEL'}, {'Y': '29594.4357', 'X': '30257.1646', 'CATEGORY': 'Culture', 'SEARCHVAL': 'CLIFFORD PIER, FORMER CUSTOMS HARBOUR BRANCH BUILDING AND CHANGE ALLEY PLAZA AT COLLYER QUAY (CONSERVATION AREA MAP)'}]",Clifford Pier,"[(1.2897881812801035, 103.84769526520444), (1.2898656668252386, 103.84695666010052), (1.2899088518714699, 103.8476449116191)]","(1.289854233325604, 103.84743227897468)"
"[{'Y': '30377.8849', 'X': '31259.8696', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA CENTRE BUS TERMINAL'}, {'Y': '30378.1329', 'X': '31258.5219', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA CENTRE BUS TERMINAL (BET MARINA CENTRE/RAFFLES BOULEVARD)'}]",Marina Centre,"[(1.2989769130936546, 103.85468460299967), (1.2989647249510121, 103.85468683128795)]","(0.8659805460148888, 69.23645714476254)"
